pic,source_file,CY_index,h11,h21,rk_bk,sq_bk,dp_bk,bk_match,hodge_match,rankS,h11_minus_rankS,pic_expected,kernel_dim_match,pic1_scale_k
1,Example_Files/Y.v06.txt,1,2,86,1,1,4,True,True,1,1,1,True,1.0
1,Example_Files/Y.v06.txt,2,2,128,1,1,2,True,True,1,1,1,True,3.0
1,Example_Files/Y.v06.txt,3,2,74,1,1,6,True,True,1,1,1,True,6.0
1,Example_Files/Y.v06.txt,4,5,50,4,9,27,True,True,4,1,1,True,1.0
1,Example_Files/Y.v06.txt,5,4,52,3,6,24,True,True,3,1,1,True,2.0
1,Example_Files/Y.v06.txt,6,3,69,2,3,12,True,True,2,1,1,True,2.0
1,Example_Files/Y.v06.txt,7,3,99,2,3,6,True,True,2,1,1,True,6.0
2,Example_Files/Y.v07.txt,1,3,73,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,2,3,57,1,1,4,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,3,3,69,1,1,4,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,4,3,99,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,5,3,99,1,1,4,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,6,3,99,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,7,3,75,1,1,3,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,8,3,75,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,9,3,73,1,1,4,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,10,3,81,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,11,3,75,1,1,3,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,12,3,69,1,1,4,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,14,3,69,1,1,4,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,15,3,75,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,16,3,75,1,1,4,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,17,3,69,1,1,4,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,18,3,63,1,1,6,True,True,1,2,2,True,
1,Example_Files/Y.v07.txt,19,3,72,2,2,6,True,True,2,1,1,True,1.0
2,Example_Files/Y.v07.txt,20,3,79,1,1,5,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,21,3,99,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,22,3,69,1,1,4,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,23,3,85,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,24,3,85,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,25,3,69,1,1,4,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,26,3,84,1,1,3,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,28,3,81,1,1,3,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,29,3,73,1,1,6,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,31,3,111,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,32,3,111,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,34,3,115,1,1,2,True,True,1,2,2,True,
1,Example_Files/Y.v07.txt,35,5,59,4,6,18,True,True,4,1,1,True,1.0
1,Example_Files/Y.v07.txt,36,4,61,3,5,15,True,True,3,1,1,True,1.0
2,Example_Files/Y.v07.txt,37,3,127,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,38,3,115,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,39,3,99,1,1,2,True,True,1,2,2,True,
2,Example_Files/Y.v07.txt,40,3,99,1,1,2,True,True,1,2,2,True,
1,Example_Files/Y.v07.txt,41,5,81,4,6,12,True,True,4,1,1,True,2.0
2,Example_Files/Y.v08.txt,3,4,56,2,3,8,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,6,4,64,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,9,4,44,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,11,4,58,2,3,12,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,13,4,97,2,3,5,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,16,4,80,2,3,12,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,17,4,64,2,3,6,True,True,2,2,2,True,
1,Example_Files/Y.v08.txt,18,4,70,3,3,9,True,True,3,1,1,True,1.0
2,Example_Files/Y.v08.txt,33,4,72,2,3,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,37,4,60,2,2,4,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,41,4,56,2,2,6,True,True,2,2,2,True,
2,Example_Files/Y.v08.txt,47,4,64,2,3,8,True,True,2,2,2,True,
